x,y,region,year,daily_percent,species
138,10.810338361231903,DI,2016,1.7087720638285404,Sockeye
139,12.79476624170619,DI,2016,1.9844278804742874,Sockeye
140,15.081872011168908,DI,2016,2.287105769462718,Sockeye
141,17.694849955421137,DI,2016,2.612977944252229,Sockeye
142,20.650444554982634,DI,2016,2.955594599561497,Sockeye
143,23.956024760486912,DI,2016,3.3055802055042776,Sockeye
144,27.60664725750988,DI,2016,3.650622497022969,Sockeye
145,31.582535112866474,DI,2016,3.975887855356593,Sockeye
146,35.847487062228055,DI,2016,4.264951949361581,Sockeye
147,40.348724604233844,DI,2016,4.501237542005789,Sockeye
148,45.01853850331751,DI,2016,4.669813899083664,Sockeye
149,49.77781040401632,DI,2016,4.759271900698813,Sockeye
150,54.54111198767513,DI,2016,4.763301583658809,Sockeye
151,59.222726534075356,DI,2016,4.681614546400226,Sockeye
152,63.74271346042347,DI,2016,4.5199869263481105,Sockeye
153,68.03212571042594,DI,2016,4.289412250002478,Sockeye
154,72.0366966950669,DI,2016,4.004570984640949,Sockeye
155,75.71866343022756,DI,2016,3.681966735160671,Sockeye
156,79.056769244215,DI,2016,3.3381058139874398,Sockeye
157,82.0447865987839,DI,2016,2.988017354568896,Sockeye
158,84.68905984372928,DI,2016,2.6442732449453814,Sockeye
159,87.00558728855118,DI,2016,2.316527444821901,Sockeye
160,89.01707992877569,DI,2016,2.0114926402245032,Sockeye
161,90.75030256602153,DI,2016,1.733222637245845,Sockeye
162,92.23386692614191,DI,2016,1.4835643601203827,Sockeye
163,93.49653379882533,DI,2016,1.2626668726834112,Sockeye
164,94.56600321545842,DI,2016,1.0694694166330976,Sockeye
165,95.46812719722242,DI,2016,0.9021239817639923,Sockeye
166,96.22646145480445,DI,2016,0.7583342575820353,Sockeye
167,96.86207185197469,DI,2016,0.6356103971702396,Sockeye
168,97.393520747239,DI,2016,0.5314488952643046,Sockeye
169,97.83697183303843,DI,2016,0.44345108579943826,Sockeye
170,98.20636619666334,DI,2016,0.36939436362490596,Sockeye
171,98.51363507325307,DI,2016,0.3072688765897311,Sockeye
172,98.76892532121938,DI,2016,0.2552902479663146,Sockeye
173,98.98082187923991,DI,2016,0.21189655802052698,Sockeye
